date,shengchan,xindingdan,xinchukoudingdan,jinkou,goujinjiage,yuancailiaokucun,caogouliang,chanchengpinkucun,chuchangjiage,jiyadingdan,congyerenyuan,gongyingshangpeisongshijian,shengchanjingyinghuodongyuqi
Jul-08,47.4,46.2,46.7,45.4,71.3,48,47.1,47.8,#N/A,45.4,50.6,48.5,#N/A
Jun-08,54.2,52.6,50.2,50.9,75.7,47.8,53.5,49.5,#N/A,47.1,50.3,47.8,#N/A
May-08,55.7,55.4,53.4,50.3,73.9,48.1,53.7,48.7,#N/A,49.3,51.2,48.8,#N/A
Apr-08,66.5,65,58.9,56.1,75.1,51.2,64.6,47.2,#N/A,53.4,52.9,51,#N/A
Mar-08,64.1,63.8,59.1,57.5,74.6,50.8,64,47.3,#N/A,54.6,53.4,50.5,#N/A
Feb-08,55.4,56.9,51.3,50.7,70.1,45.1,54.6,47.3,#N/A,50.9,49.8,46.5,#N/A
Jan-08,56.1,55.2,49,51.3,67.7,49.2,56.9,48.4,#N/A,48.6,49.7,49.7,#N/A
Dec-07,59.5,59.6,54.3,54.3,69,50.7,58.7,47.2,#N/A,49.4,51.6,52.4,#N/A
Nov-07,60.1,59.4,53.8,53.3,70.1,50.4,59.4,48.6,#N/A,51.3,51.2,51.6,#N/A
Oct-07,54.9,56.4,53.6,51.6,66.1,48.5,56.2,47.6,#N/A,51.2,52.1,51.6,#N/A
Sep-07,61.7,60.7,55.1,53.7,65.6,48.4,59.6,47.4,#N/A,51.3,51.8,51.7,#N/A
Aug-07,57.1,56.3,55.2,52.3,63,50.3,56.1,45.7,#N/A,48.9,52.1,51.1,#N/A
Jul-07,55.7,56,53.5,50.4,58.9,50.4,54.1,47.5,#N/A,48.8,51.1,51.2,#N/A
Jun-07,59.7,57.4,55,53.6,62.8,49.1,56.7,47.3,#N/A,50.3,51.3,52,#N/A
May-07,60.9,60.4,57.7,51.5,65.9,49.1,58.5,44.5,#N/A,51.5,51.3,51.8,#N/A
Apr-07,65.5,65.1,62.3,56.3,64.9,50.3,63.4,46.8,#N/A,53.3,52.4,51.9,#N/A
Mar-07,60.7,60.8,61.5,56.4,58.3,50.8,60.5,45.8,#N/A,55.1,51.9,51.7,#N/A
Feb-07,56.6,57.1,53,51.6,55.9,47.4,57.6,44,#N/A,49.1,48.5,50.6,#N/A
