date,zx_1,zx_2,zx_3,hs300,zhongzhai10,nh_gyp,nh_ncp,nh_js,nh_nh,zz500,zz1000,sz50,hs300_cz,hs301_jz,zz500_cz,zz501_jz,300zq,300fz
2019/5/30,3673.0142,3675.2697,3686.1074,3641.1833,164.4044,2291.52,775.67,3228.35,1376.25,4926.403,5341.9803,2742.9635,4238.8424,4766.2482,5137.0847,7379.2978,3661.2926,3888.2403
2019/5/29,3699.5312,3701.803,3708.2895,3663.909,164.2768,2308.41,786.3,3254.42,1385.21,4956.8638,5376.5125,2755.8081,4274.6049,4778.5733,5177.2479,7414.2884,3680.9302,3915.983
2019/5/28,3683.7751,3686.0372,3689.8695,3672.2605,163.9323,2313.88,771.6,3280.74,1381.24,4955.4855,5354.5254,2748.7987,4261.8846,4789.2398,5179.2288,7431.9401,3683.0858,3931.6507
2019/5/27,3664.0163,3666.2662,3670.2115,3637.1971,163.727,2310.37,769.02,3285.58,1375.57,4962.947,5354.634,2722.3345,4208.2189,4744.071,5184.7217,7447.2263,3656.2194,3885.1353
2019/5/24,3568.3107,3570.5018,3575.6136,3593.9139,164.0465,2309.76,762.72,3260.97,1383.51,4841.7573,5200.774,2702.0252,4169.6448,4711.703,5077.1525,7302.1313,3620.3796,3830.6081
2019/5/23,3646.2405,3648.4794,3654.4762,3583.9646,163.9832,2302.61,760.45,3231.44,1387.08,4872.9202,5267.8266,2685.9336,4145.4814,4685.8678,5101.1112,7318.2544,3608.8117,3821.6746
2019/5/22,3661.1192,3663.3672,3670.2381,3649.3796,163.8713,2329.25,763.39,3250.8,1408.68,4976.3929,5395.4299,2725.7343,4256.9496,4748.3611,5216.7353,7444.2665,3650.5563,3917.514
2019/5/21,3694.5139,3696.7825,3704.9291,3666.7762,164.0528,2344.08,774.8,3257.48,1423.77,5009.8725,5418.0453,2739.7852,4280.544,4769.8483,5264.5365,7529.3176,3668.2799,3935.8412
2019/5/20,3610.8799,3613.0971,3622.1572,3617.7924,164.2539,2313.46,769.63,3218.24,1406.77,4923.5589,5313.1491,2715.4315,4214.7586,4723.7771,5179.2462,7407.1127,3628.924,3872.8304
2019/5/17,3629.0644,3631.2928,3638.2828,3648.7609,164.2572,2307.73,769.02,3217.24,1401.3,4942.5792,5330.9863,2735.2124,4281.8484,4754.1252,5222.1382,7471.2645,3636.7273,3931.1341
2019/5/16,3775.8637,3778.1823,3782.8263,3743.9635,164.2435,2292.81,770.73,3188.34,1398.42,5108.3588,5527.2751,2791.4146,4397.2227,4849.6376,5405.5776,7723.2292,3725.11,4040.7391
2019/5/15,3737.9009,3740.1962,3745.5825,3727.0923,164.068,2264.64,763.85,3152.76,1379.47,5076.555,5486.3865,2783.5439,4371.8348,4829.9267,5371.3541,7669.1979,3703.4295,4027.8228
2019/5/14,3665.9342,3668.1853,3677.8894,3645.1503,163.9818,2233.98,757.48,3111.23,1362.71,4965.6124,5368.2288,2724.7337,4255.77,4745.901,5242.5859,7501.3524,3634.0573,3926.2397
