date,syhg,mtkc,gysy,fdc,,,
2011-04-19,2946.83,6410.48,2171.56,3084.44,,,
2011-04-20,2930.7,6414.51,2187.02,3059.47,,,
2011-04-21,2938.53,6560.95,2195.09,3074.05,,,
2011-04-22,2922.34,6467.86,2214.76,3052.54,,,
2011-04-25,2875.03,6233.08,2172.72,2991.13,,,
2011-04-26,2845.16,6219.14,2149.22,2981.24,,,
2011-04-27,2810.6,6195.75,2144.58,2915.48,,,
2011-04-28,2748.28,6123.04,2082.38,2844.81,,,
2011-04-29,2812.82,6260.09,2157.47,2893.83,,,
2011-05-03,2858.12,6263.01,2190.3,2914.91,,,
2011-05-04,2770.4,5951.33,2148.68,2854.93,,,
2011-05-05,2785.63,5890.57,2146.7,2892.09,,,
2011-05-06,2754.94,5777.62,2177.47,2891.17,,,
2011-05-09,2742.53,5812.92,2195.92,2898.01,,,
2011-05-10,2763.63,5913.21,2231.2,2912.73,,,
2011-05-11,2787.24,5899.37,2214.46,2926.9,,,
2011-05-12,2750.49,5791.39,2216.42,2909.74,,,
2011-05-13,2788.29,5929.28,2216.31,2952.37,,,
2011-05-16,2810.55,5867.48,2210.51,2973.43,,,
2011-05-17,2780.25,6030.17,2174,2965.78,,,
2011-05-18,2797.78,6059.31,2183.94,2981.35,,,
2011-05-19,2791.2,5994.26,2161.01,2939.24,,,
2011-05-20,2822.49,5996.02,2140.57,2929.58,,,
2011-05-23,2716.9,5784.23,2067.77,2822.83,,,
2011-05-24,2714.09,5826.48,2074.4,2824.69,,,
2011-05-25,2681.95,5815.91,2041.02,2789.36,,,
2011-05-26,2669.41,5766.74,2026.38,2774.08,,,
2011-05-27,2586.22,5797.53,1959.63,2727.39,,,
2011-05-30,2559.11,5700.13,1940.24,2652.12,,,
2011-05-31,2585.05,5863.14,1979.02,2680.57,,,
2011-06-01,2605.66,5884.12,1987.31,2693.01,,,
2011-06-02,2551.22,5891.1,1953.48,2643.73,,,
2011-06-03,2579.14,5924.16,1982.99,2690.47,,,
2011-06-07,2612.2,5944.06,1995.55,2710.76,,,
2011-06-08,2622.55,5912.49,2005.91,2771.78,,,
2011-06-09,2574.18,5804.91,1965.32,2701.66,,,
2011-06-10,2578.7,5775.11,1965.94,2729.18,,,
2011-06-13,2589.41,5738.1,1954.29,2717.38,,,
2011-06-14,2639.67,5856.22,1975.61,2801.56,,,
2011-06-15,2622.89,5820.33,1955.41,2770.16,,,
2011-06-16,2563.63,5699.98,1908.63,2718.78,,,
2011-06-17,2556.02,5658.28,1883.3,2711.52,,,
2011-06-20,2515.22,5698.62,1866.42,2716.45,,,
2011-06-21,2533.3,5885.37,1886.13,2759.61,,,
2011-06-22,2532.07,5848.32,1877.8,2748.31,,,
2011-06-23,2574.37,5969.53,1895.7,2784.6,,,
2011-06-24,2637.63,6012.47,1935.94,2829.84,,,
2011-06-27,2648.84,6074.72,1949.09,2841.53,,,
2011-06-28,2657.14,6088.99,1953.08,2855.79,,,
2011-06-29,2637.76,5993.57,1930.7,2817.16,,,
2011-06-30,2677.27,6122.96,1950.69,2868,,,
2011-07-01,2667.33,6288.85,1952.38,2911.48,,,
2011-07-04,2731.97,6381.96,1993.23,2957.18,,,
2011-07-05,2771.05,6378.52,2002.99,2970.59,,,
2011-07-06,2782.18,6323.09,2014.15,2951.77,,,
2011-07-07,2773.32,6311.06,2009.87,2944.16,,,
2011-07-08,2773.49,6342.35,2009.72,2956.28,,,
2011-07-11,2773.57,6297.37,2024.24,2952.81,,,
2011-07-12,2739.45,6138.71,1989.68,2880.71,,,
2011-07-13,2794.56,6257.69,2020.03,2924.41,,,
2011-07-14,2823.18,6358.69,2028.99,2927.39,,,
2011-07-15,2822.75,6376.54,2036.35,2893.4,,,
2011-07-18,2816.71,6343.94,2048.37,2904.71,,,
2011-07-19,2795,6385.97,2028.64,2910.81,,,
2011-07-20,2789.54,6332.56,2028.04,2900.61,,,
2011-07-21,2760.54,6233.49,1999.03,2863.74,,,
